current,x,y,z,dBx_dx,dBy_dy,dBz_dz
0.0,-0.01,-0.01,0.3,0.0,0.0,0.0
0.0,-0.01,-0.005,0.3,0.0,0.0,0.0
0.0,-0.01,0.0,0.3,0.0,0.0,0.0
0.0,-0.01,0.005,0.3,0.0,0.0,0.0
0.0,-0.01,0.01,0.3,0.0,0.0,0.0
0.0,-0.005,-0.01,0.3,0.0,0.0,0.0
0.0,-0.005,-0.005,0.3,0.0,0.0,0.0
0.0,-0.005,0.0,0.3,0.0,0.0,0.0
0.0,-0.005,0.005,0.3,0.0,0.0,0.0
0.0,-0.005,0.01,0.3,0.0,0.0,0.0
0.0,0.0,-0.01,0.3,0.0,0.0,0.0
0.0,0.0,-0.005,0.3,0.0,0.0,0.0
0.0,0.0,0.0,0.3,0.0,0.0,0.0
0.0,0.0,0.005,0.3,0.0,0.0,0.0
0.0,0.0,0.01,0.3,0.0,0.0,0.0
0.0,0.005,-0.01,0.3,0.0,0.0,0.0
0.0,0.005,-0.005,0.3,0.0,0.0,0.0
0.0,0.005,0.0,0.3,0.0,0.0,0.0
0.0,0.005,0.005,0.3,0.0,0.0,0.0
0.0,0.005,0.01,0.3,0.0,0.0,0.0
0.0,0.01,-0.01,0.3,0.0,0.0,0.0
0.0,0.01,-0.005,0.3,0.0,0.0,0.0
0.0,0.01,0.0,0.3,0.0,0.0,0.0
0.0,0.01,0.005,0.3,0.0,0.0,0.0
0.0,0.01,0.01,0.3,0.0,0.0,0.0
2.0,-0.01,-0.01,0.3,1.0102127304324747e-05,1.0102127304324743e-05,-2.0205520617957274e-05
2.0,-0.01,-0.005,0.3,1.0085854074768642e-05,1.0053315559533436e-05,-2.0140427087789915e-05
2.0,-0.01,0.0,0.3,1.0056114974372006e-05,9.964302845067678e-06,-2.0021659718719656e-05
2.0,-0.01,0.005,0.3,1.0013076757676094e-05,9.835920113594077e-06,-1.985021644661236e-05
2.0,-0.01,0.01,0.3,9.956979355603736e-06,9.669357746261454e-06,-1.9627527908694193e-05
2.0,-0.005,-0.01,0.3,1.0053315559533436e-05,1.0085854074768635e-05,-2.0140427087789915e-05
2.0,-0.005,-0.005,0.3,1.0037152305693914e-05,1.0037152305693933e-05,-2.0075553555042235e-05
2.0,-0.005,0.0,0.3,1.0007614001597725e-05,9.948339837618258e-06,-1.9957187312268478e-05
2.0,-0.005,0.005,0.3,9.96486595673889e-06,9.82024522413898e-06,-1.9786322449992332e-05
